Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Commission USDT,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
1,Exit long,2022-01-07 09:00,Trailing Stop,0.73383,1374.57,999.999675,7.7,0.77,1,18.19,1.82,-0.5,-0.05,7.7,3.85,0
1,Entry long,2022-01-07 09:00,Long Entry,0.7275,1374.57,999.999675,7.7,0.77,1,18.19,1.82,-0.5,-0.05,7.7,3.85,0
2,Exit long,2022-01-08 09:00,Stop Loss,0.73506,1334.935,1000.266795,-20,-2.00,0.99,7.91,0.79,-19.51,-1.95,-12.3,-6.15,1
2,Entry long,2022-01-08 05:00,Long Entry,0.7493,1334.935,1000.266795,-20,-2.00,0.99,7.91,0.79,-19.51,-1.95,-12.3,-6.15,1
3,Exit long,2022-01-08 21:00,Trailing Stop,0.69786,1460.28,999.853716,18.21,1.82,1.01,28.71,2.87,-13.35,-1.33,5.9,2.95,0
3,Entry long,2022-01-08 21:00,Long Entry,0.6847,1460.28,999.853716,18.21,1.82,1.01,28.71,2.87,-13.35,-1.33,5.9,2.95,0
4,Exit long,2022-01-10 21:00,Trailing Stop,0.65788,1534.212,1000.306224,8.02,0.80,1,18.52,1.85,-7.56,-0.76,13.92,6.96,1
4,Entry long,2022-01-10 17:00,Long Entry,0.652,1534.212,1000.306224,8.02,0.80,1,18.52,1.85,-7.56,-0.76,13.92,6.96,1
5,Exit short,2022-01-16 05:00,Trailing Stop,0.85859,1163.196,999.9996012,0.29,0.03,1,10.78,1.08,-0.5,-0.05,14.21,7.11,0
5,Entry short,2022-01-16 05:00,Short Entry,0.8597,1163.196,999.9996012,0.29,0.03,1,10.78,1.08,-0.5,-0.05,14.21,7.11,0
6,Exit short,2022-01-16 21:00,Trailing Stop,0.86955,1142.465,1000.113861,5.69,0.57,1,16.18,1.62,-0.5,-0.05,19.9,9.95,0
6,Entry short,2022-01-16 21:00,Short Entry,0.8754,1142.465,1000.113861,5.69,0.57,1,16.18,1.62,-0.5,-0.05,19.9,9.95,0
7,Exit short,2022-01-17 09:00,Take Profit,0.85543,1132.631,999.8866468,30.02,3.00,0.98,30.5,3.05,-3.78,-0.38,49.91,24.96,0
7,Entry short,2022-01-17 09:00,Short Entry,0.8828,1132.631,999.8866468,30.02,3.00,0.98,30.5,3.05,-3.78,-0.38,49.91,24.96,0
8,Exit short,2022-01-18 05:00,Trailing Stop,0.90324,1093.493,999.7806499,11.1,1.11,0.99,21.59,2.16,-0.5,-0.05,61.02,30.51,0
8,Entry short,2022-01-18 05:00,Short Entry,0.9143,1093.493,999.7806499,11.1,1.11,0.99,21.59,2.16,-0.5,-0.05,61.02,30.51,0
9,Exit long,2022-01-23 21:00,Stop Loss,0.56034,1750.393,999.8244816,-20,-2.00,0.99,0,0.00,-19.51,-1.95,41.02,20.51,0
9,Entry long,2022-01-23 21:00,Long Entry,0.5712,1750.393,999.8244816,-20,-2.00,0.99,0,0.00,-19.51,-1.95,41.02,20.51,0
10,Exit long,2022-01-24 13:00,Trailing Stop,0.50326,2023.472,999.9998624,17.32,1.73,1.01,27.83,2.78,-0.5,-0.05,58.34,29.17,0
